ID,TITLE,PRICE,PRICE_CURRENCY,ACTIVE,STATUS,IS_FEATURED,IS_HIGHLIGHTED,VIOLATION,LANG,MEMBERS_ID,CATEGORIES_ID,CITIES_ID,COUNTRIES_ID,SF_OP,SF_TIMESTAMP,LAST_EDIT_ACTION,IS_FIRST_LIVE,HAS_PRICE,REQUEST_ID,RECORD_INSERT_DATE,RECORD_UPDATE_DATE,RECORD_EXPIRATION_DATE,POST_INSERT_IP_COUNTRY,POST_UPDATE_IP_COUNTRY,PHONE,EMAIL,NUMBER_OF_TIMES_REPOSTED,SF_OFFSET_ID
284387206,أجمل الأرقام رباعي,1,JOD,0,100,0,0,0,ar,15098205,2010,1,1,insert,2026-07-20T21:40:23.000Z,,1,1,req-1000,2026-07-20T21:40:23.000Z,2026-07-20T21:40:23.000Z,2026-08-19T21:40:23.000Z,JO,JO,0790004031,owner@example.com,0,1005368509
284387206,أجمل الأرقام رباعي,1,JOD,0,101,0,0,0,ar,15098205,2010,1,1,update,2026-07-20T21:40:24.000Z,"{""action"":""rule-engine-no-match"",""actor"":0,""actor_type"":""system""}",0,1,req-1001,2026-07-20T21:40:23.000Z,2026-07-20T21:40:24.000Z,2026-08-19T21:40:23.000Z,JO,JO,0790004031,owner@example.com,0,1005368511
284387206,أجمل الأرقام رباعي,1,JOD,1,300,0,0,0,ar,15098205,2010,1,1,update,2026-08-06T11:11:42.000Z,"{""action"":""edit"",""actor"":15098205,""actor_type"":""owner""}",0,1,req-1002,2026-07-20T21:40:23.000Z,2026-08-06T11:11:42.000Z,2026-08-19T21:40:23.000Z,JO,JO,0790004031,owner@example.com,0,1011402035
284387206,أجمل الأرقام رباعي,1,JOD,0,102,0,0,0,ar,15098205,2010,1,1,update,2026-08-06T11:11:43.000Z,"{""action"":""over-limit"",""actor"":0,""actor_type"":""system""}",0,1,req-1003,2026-07-20T21:40:23.000Z,2026-08-06T11:11:43.000Z,2026-08-19T21:40:23.000Z,JO,JO,0790004031,owner@example.com,0,1011402039
284387206,أجمل الأرقام رباعي,1,JOD,1,300,0,0,0,ar,15098205,2010,1,1,update,2026-08-06T11:11:57.000Z,"{""action"":""activate"",""actor"":15098205,""actor_type"":""owner"",""is_overlimit"":1,""live_count"":1,""rule_id"":1154,""source"":5}",1,1,req-1004,2026-07-20T21:40:23.000Z,2026-08-06T11:11:57.000Z,2026-08-19T21:40:23.000Z,JO,JO,0790004031,owner@example.com,0,1011402110
284387206,أجمل الأرقام رباعي,1,JOD,0,102,0,0,0,ar,15098205,2010,1,1,update,2026-08-06T11:11:57.000Z,"{""action"":""over-limit"",""actor"":0,""actor_type"":""system""}",0,1,req-1005,2026-07-20T21:40:23.000Z,2026-08-06T11:11:57.000Z,2026-08-19T21:40:23.000Z,JO,JO,0790004031,owner@example.com,0,1011402112
284387300,iPhone 14 Pro Max,450,JOD,1,300,1,1,0,en,15099001,1200,2,1,insert,2026-08-06T10:45:00.000Z,,1,1,req-1010,2026-08-06T10:45:00.000Z,2026-08-06T10:45:00.000Z,2026-09-06T10:45:00.000Z,JO,JO,0781112233,seller@example.com,0,1011500001
284387300,iPhone 14 Pro Max,480,JOD,1,301,1,1,0,en,15099001,1200,2,1,update,2026-08-06T11:05:00.000Z,"{""action"":""update"",""actor"":15099001,""actor_type"":""owner"",""source"":5}",0,1,req-1011,2026-08-06T10:45:00.000Z,2026-08-06T11:05:00.000Z,2026-09-06T10:45:00.000Z,JO,JO,0781112233,seller@example.com,1,1011500002
284387401,Villa for rent Amman,1200,JOD,0,103,0,0,1,ar,15100010,3100,1,1,update,2026-08-06T11:20:00.000Z,"{""action"":""moderate"",""actor"":99,""actor_type"":""moderator"",""rule_id"":88}",0,1,req-1020,2026-08-01T09:00:00.000Z,2026-08-06T11:20:00.000Z,2026-09-01T09:00:00.000Z,JO,AE,0775558899,agent@example.com,2,1011600001
284387500,Laptop Dell XPS,0,JOD,0,104,0,0,0,en,15100020,1300,3,1,update,2026-08-06T10:10:00.000Z,,0,0,req-1030,2026-08-06T10:10:00.000Z,2026-08-06T10:10:00.000Z,2026-09-06T10:10:00.000Z,SA,SA,0551234567,tech@example.com,0,1011700001
284387600,Old listing,50,JOD,0,200,0,0,0,ar,15100030,1400,1,1,update,2026-08-06T12:00:00.000Z,,0,1,req-1040,2026-07-01T08:00:00.000Z,2026-08-06T12:00:00.000Z,2026-08-01T08:00:00.000Z,JO,JO,0792223344,old@example.com,0,1011800001
284387900,Moderation journey,3500,JOD,0,100,0,0,0,en,15100060,1700,1,1,insert,2026-08-06T08:00:00.000Z,,1,1,req-1050,2026-08-06T08:00:00.000Z,2026-08-06T08:00:00.000Z,2026-09-06T08:00:00.000Z,JO,JO,0794445566,journey@example.com,0,1011900001
284387900,Moderation journey,3500,JOD,0,101,0,0,0,en,15100060,1700,1,1,update,2026-08-06T08:12:00.000Z,,0,1,req-1051,2026-08-06T08:00:00.000Z,2026-08-06T08:12:00.000Z,2026-09-06T08:00:00.000Z,JO,JO,0794445566,journey@example.com,0,1011900002
284387900,Moderation journey,3400,JOD,1,300,0,0,0,en,15100060,1700,1,1,update,2026-08-06T09:05:00.000Z,"{""action"":""activate"",""actor"":15100060,""actor_type"":""owner"",""source"":5}",0,1,req-1052,2026-08-06T08:00:00.000Z,2026-08-06T09:05:00.000Z,2026-09-06T08:00:00.000Z,JO,JO,0794445566,journey@example.com,0,1011900003
